timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/05 20:44:48.685, 0, 0, 351, 16303, 20.78
2026/04/05 20:44:49.697, 0, 0, 351, 16303, 20.78
2026/04/05 20:44:50.697, 0, 0, 351, 16303, 20.90
2026/04/05 20:44:51.697, 0, 0, 351, 16303, 20.95
2026/04/05 20:44:52.698, 0, 0, 351, 16303, 20.86
2026/04/05 20:44:53.698, 0, 0, 351, 16303, 20.56
2026/04/05 20:44:54.698, 0, 0, 351, 16303, 20.58
2026/04/05 20:44:55.698, 0, 0, 351, 16303, 20.58
2026/04/05 20:44:56.698, 0, 0, 351, 16303, 20.56
2026/04/05 20:44:57.699, 0, 0, 351, 16303, 20.55
2026/04/05 20:44:58.699, 0, 0, 351, 16303, 20.83
2026/04/05 20:44:59.699, 0, 0, 351, 16303, 20.83
2026/04/05 20:45:00.699, 0, 0, 351, 16303, 20.78
2026/04/05 20:45:01.699, 0, 0, 351, 16303, 20.78
2026/04/05 20:45:02.700, 0, 0, 351, 16303, 20.89
2026/04/05 20:45:03.700, 0, 0, 351, 16303, 20.93
2026/04/05 20:45:04.702, 0, 0, 351, 16303, 21.04
2026/04/05 20:45:05.702, 0, 0, 351, 16303, 20.80
2026/04/05 20:45:06.702, 0, 0, 351, 16303, 20.83
2026/04/05 20:45:07.702, 0, 0, 351, 16303, 20.83
2026/04/05 20:45:08.703, 0, 0, 351, 16303, 20.78
2026/04/05 20:45:09.703, 0, 0, 351, 16303, 20.81
2026/04/05 20:45:10.703, 0, 0, 351, 16303, 20.83
2026/04/05 20:45:11.703, 0, 0, 351, 16303, 20.75
2026/04/05 20:45:12.704, 0, 0, 351, 16303, 20.75
2026/04/05 20:45:13.704, 0, 0, 351, 16303, 20.83
2026/04/05 20:45:14.704, 0, 0, 351, 16303, 20.99
2026/04/05 20:45:15.704, 0, 0, 351, 16303, 21.19
2026/04/05 20:45:16.704, 0, 0, 351, 16303, 21.19
2026/04/05 20:45:17.705, 0, 0, 351, 16303, 21.16
2026/04/05 20:45:18.705, 0, 0, 351, 16303, 21.12
2026/04/05 20:45:19.705, 0, 0, 351, 16303, 21.19
2026/04/05 20:45:20.705, 0, 0, 351, 16303, 21.21
2026/04/05 20:45:21.705, 0, 0, 351, 16303, 20.96
2026/04/05 20:45:22.706, 0, 0, 351, 16303, 21.00
2026/04/05 20:45:23.706, 0, 0, 351, 16303, 21.22
