timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/05 16:45:11.713, 0, 0, 351, 16303, 21.41
2026/04/05 16:45:12.722, 0, 0, 351, 16303, 21.51
2026/04/05 16:45:13.722, 0, 0, 351, 16303, 21.33
2026/04/05 16:45:14.723, 0, 0, 351, 16303, 21.40
2026/04/05 16:45:15.723, 0, 0, 351, 16303, 21.33
2026/04/05 16:45:16.723, 0, 0, 351, 16303, 21.36
2026/04/05 16:45:17.723, 0, 0, 351, 16303, 21.30
2026/04/05 16:45:18.724, 0, 0, 351, 16303, 21.43
2026/04/05 16:45:19.724, 0, 0, 351, 16303, 21.40
2026/04/05 16:45:20.724, 0, 0, 351, 16303, 21.37
2026/04/05 16:45:21.724, 0, 0, 351, 16303, 21.33
2026/04/05 16:45:22.724, 0, 0, 351, 16303, 21.24
2026/04/05 16:45:23.725, 0, 0, 351, 16303, 21.42
2026/04/05 16:45:24.725, 0, 0, 351, 16303, 21.16
2026/04/05 16:45:25.725, 0, 0, 351, 16303, 21.09
2026/04/05 16:45:26.725, 0, 0, 351, 16303, 21.02
2026/04/05 16:45:27.725, 0, 0, 351, 16303, 21.03
2026/04/05 16:45:28.726, 0, 0, 351, 16303, 21.00
2026/04/05 16:45:29.726, 0, 0, 351, 16303, 21.17
2026/04/05 16:45:30.726, 0, 0, 351, 16303, 21.23
2026/04/05 16:45:31.726, 0, 0, 351, 16303, 21.18
2026/04/05 16:45:32.726, 0, 0, 351, 16303, 21.30
2026/04/05 16:45:33.727, 0, 0, 351, 16303, 21.32
2026/04/05 16:45:34.727, 0, 0, 351, 16303, 21.19
2026/04/05 16:45:35.727, 0, 0, 351, 16303, 21.25
2026/04/05 16:45:36.727, 0, 0, 351, 16303, 21.42
2026/04/05 16:45:37.727, 0, 0, 351, 16303, 21.31
2026/04/05 16:45:38.728, 0, 0, 351, 16303, 21.31
2026/04/05 16:45:39.728, 0, 0, 351, 16303, 21.42
2026/04/05 16:45:40.728, 0, 0, 351, 16303, 21.54
2026/04/05 16:45:41.728, 0, 0, 351, 16303, 21.51
2026/04/05 16:45:42.728, 0, 0, 351, 16303, 21.58
2026/04/05 16:45:43.729, 0, 0, 351, 16303, 21.53
2026/04/05 16:45:44.729, 0, 0, 351, 16303, 21.45
2026/04/05 16:45:45.729, 0, 0, 351, 16303, 21.43
2026/04/05 16:45:46.729, 0, 0, 351, 16303, 21.49
2026/04/05 16:45:47.729, 0, 0, 351, 16303, 21.53
2026/04/05 16:45:48.730, 0, 0, 351, 16303, 21.53
2026/04/05 16:45:49.730, 0, 0, 351, 16303, 21.56
2026/04/05 16:45:50.730, 0, 0, 351, 16303, 21.35
2026/04/05 16:45:51.730, 0, 0, 351, 16303, 21.24
2026/04/05 16:45:52.730, 0, 0, 351, 16303, 21.46
2026/04/05 16:45:53.731, 0, 0, 351, 16303, 21.23
2026/04/05 16:45:54.731, 0, 0, 351, 16303, 21.02
2026/04/05 16:45:55.731, 0, 0, 351, 16303, 21.07
2026/04/05 16:45:56.731, 0, 0, 351, 16303, 21.12
2026/04/05 16:45:57.731, 0, 0, 351, 16303, 20.94
2026/04/05 16:45:58.732, 0, 0, 351, 16303, 21.05
2026/04/05 16:45:59.732, 0, 0, 351, 16303, 21.30
2026/04/05 16:46:00.732, 0, 0, 351, 16303, 21.28
2026/04/05 16:46:01.732, 0, 0, 351, 16303, 21.37
2026/04/05 16:46:02.732, 0, 0, 351, 16303, 21.39
2026/04/05 16:46:03.733, 0, 0, 351, 16303, 21.47
2026/04/05 16:46:04.733, 0, 0, 351, 16303, 21.41
2026/04/05 16:46:05.733, 0, 0, 351, 16303, 21.15
2026/04/05 16:46:06.733, 0, 0, 351, 16303, 21.27
2026/04/05 16:46:07.733, 0, 0, 351, 16303, 21.43
2026/04/05 16:46:08.734, 0, 0, 351, 16303, 21.46
2026/04/05 16:46:09.734, 0, 0, 351, 16303, 21.47
2026/04/05 16:46:10.734, 0, 0, 351, 16303, 21.65
2026/04/05 16:46:11.734, 0, 0, 351, 16303, 21.49
2026/04/05 16:46:12.734, 0, 0, 351, 16303, 21.37
2026/04/05 16:46:13.735, 0, 0, 351, 16303, 21.43
2026/04/05 16:46:14.735, 0, 0, 351, 16303, 21.56
2026/04/05 16:46:15.735, 0, 0, 351, 16303, 21.48
2026/04/05 16:46:16.735, 0, 0, 351, 16303, 21.43
2026/04/05 16:46:17.735, 0, 0, 351, 16303, 21.26
2026/04/05 16:46:18.736, 0, 0, 351, 16303, 21.17
2026/04/05 16:46:19.736, 0, 0, 351, 16303, 20.98
2026/04/05 16:46:20.736, 0, 0, 351, 16303, 21.16
2026/04/05 16:46:21.736, 0, 0, 351, 16303, 21.14
2026/04/05 16:46:22.736, 0, 0, 351, 16303, 21.11
2026/04/05 16:46:23.737, 0, 0, 351, 16303, 21.21
2026/04/05 16:46:24.737, 0, 0, 351, 16303, 21.21
2026/04/05 16:46:25.737, 0, 0, 351, 16303, 21.26
2026/04/05 16:46:26.737, 0, 0, 351, 16303, 20.99
2026/04/05 16:46:27.737, 0, 0, 351, 16303, 20.96
2026/04/05 16:46:28.738, 0, 0, 351, 16303, 21.10
2026/04/05 16:46:29.738, 0, 0, 351, 16303, 21.20
2026/04/05 16:46:30.738, 0, 0, 351, 16303, 21.34
2026/04/05 16:46:31.739, 0, 0, 351, 16303, 21.23
2026/04/05 16:46:32.740, 0, 0, 351, 16303, 21.16
2026/04/05 16:46:33.740, 0, 0, 351, 16303, 21.20
2026/04/05 16:46:34.740, 0, 0, 351, 16303, 21.13
2026/04/05 16:46:35.740, 0, 0, 351, 16303, 21.45
2026/04/05 16:46:36.740, 0, 0, 351, 16303, 21.38
2026/04/05 16:46:37.741, 0, 0, 351, 16303, 21.42
2026/04/05 16:46:38.741, 0, 0, 351, 16303, 21.38
2026/04/05 16:46:39.741, 0, 0, 351, 16303, 21.32
2026/04/05 16:46:40.741, 0, 0, 351, 16303, 21.66
2026/04/05 16:46:41.741, 0, 0, 351, 16303, 21.60
2026/04/05 16:46:42.742, 0, 0, 351, 16303, 21.54
2026/04/05 16:46:43.742, 0, 0, 351, 16303, 21.46
2026/04/05 16:46:44.742, 0, 0, 351, 16303, 21.46
2026/04/05 16:46:45.742, 0, 0, 351, 16303, 21.34
2026/04/05 16:46:46.742, 0, 0, 351, 16303, 21.29
2026/04/05 16:46:47.743, 0, 0, 351, 16303, 21.21
2026/04/05 16:46:48.743, 0, 0, 351, 16303, 21.20
2026/04/05 16:46:49.743, 0, 0, 351, 16303, 21.42
2026/04/05 16:46:50.743, 0, 0, 351, 16303, 21.40
2026/04/05 16:46:51.743, 0, 0, 351, 16303, 21.36
2026/04/05 16:46:52.744, 0, 0, 351, 16303, 21.20
2026/04/05 16:46:53.744, 0, 0, 351, 16303, 21.22
2026/04/05 16:46:54.744, 0, 0, 351, 16303, 21.27
2026/04/05 16:46:55.744, 0, 0, 351, 16303, 21.21
2026/04/05 16:46:56.744, 0, 0, 351, 16303, 21.24
2026/04/05 16:46:57.745, 0, 0, 351, 16303, 21.32
2026/04/05 16:46:58.745, 0, 0, 351, 16303, 21.12
2026/04/05 16:46:59.745, 0, 0, 351, 16303, 21.17
2026/04/05 16:47:00.745, 0, 0, 351, 16303, 21.10
2026/04/05 16:47:01.745, 0, 0, 351, 16303, 21.25
2026/04/05 16:47:02.746, 0, 0, 351, 16303, 21.18
2026/04/05 16:47:03.746, 0, 0, 351, 16303, 21.18
2026/04/05 16:47:04.746, 0, 0, 351, 16303, 21.22
2026/04/05 16:47:05.746, 0, 0, 351, 16303, 21.31
