timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/05 17:33:47.247, 0, 0, 351, 16303, 21.20
2026/04/05 17:33:48.260, 0, 0, 351, 16303, 21.20
2026/04/05 17:33:49.260, 0, 0, 351, 16303, 21.26
2026/04/05 17:33:50.261, 0, 0, 351, 16303, 21.03
2026/04/05 17:33:51.261, 0, 0, 351, 16303, 21.00
2026/04/05 17:33:52.261, 0, 0, 351, 16303, 20.94
2026/04/05 17:33:53.261, 0, 0, 351, 16303, 20.92
2026/04/05 17:33:54.262, 0, 0, 351, 16303, 20.92
2026/04/05 17:33:55.263, 0, 0, 351, 16303, 20.92
2026/04/05 17:33:56.263, 0, 0, 351, 16303, 20.95
2026/04/05 17:33:57.263, 0, 0, 351, 16303, 21.12
2026/04/05 17:33:58.263, 0, 0, 351, 16303, 21.05
2026/04/05 17:33:59.263, 0, 0, 351, 16303, 21.12
2026/04/05 17:34:00.264, 0, 0, 351, 16303, 21.02
2026/04/05 17:34:01.264, 0, 0, 351, 16303, 20.85
2026/04/05 17:34:02.264, 0, 0, 351, 16303, 20.92
2026/04/05 17:34:03.264, 0, 0, 351, 16303, 20.88
2026/04/05 17:34:04.264, 0, 0, 351, 16303, 20.93
2026/04/05 17:34:05.265, 0, 0, 351, 16303, 20.73
2026/04/05 17:34:06.265, 0, 0, 351, 16303, 20.80
2026/04/05 17:34:07.265, 0, 0, 351, 16303, 20.93
2026/04/05 17:34:08.265, 0, 0, 351, 16303, 21.07
2026/04/05 17:34:09.266, 0, 0, 351, 16303, 20.98
2026/04/05 17:34:10.266, 0, 0, 351, 16303, 20.86
2026/04/05 17:34:11.266, 0, 0, 351, 16303, 20.88
2026/04/05 17:34:12.266, 0, 0, 351, 16303, 20.81
2026/04/05 17:34:13.266, 0, 0, 351, 16303, 20.82
2026/04/05 17:34:14.267, 0, 0, 351, 16303, 20.64
2026/04/05 17:34:15.267, 0, 0, 351, 16303, 20.74
2026/04/05 17:34:16.267, 0, 0, 351, 16303, 20.67
2026/04/05 17:34:17.267, 0, 0, 351, 16303, 20.67
2026/04/05 17:34:18.267, 0, 0, 351, 16303, 20.89
2026/04/05 17:34:19.268, 0, 0, 351, 16303, 20.85
2026/04/05 17:34:20.268, 0, 0, 351, 16303, 20.80
2026/04/05 17:34:21.268, 0, 0, 351, 16303, 20.84
2026/04/05 17:34:22.268, 0, 0, 351, 16303, 20.77
2026/04/05 17:34:23.268, 0, 0, 351, 16303, 20.80
2026/04/05 17:34:24.269, 0, 0, 351, 16303, 20.78
2026/04/05 17:34:25.269, 0, 0, 351, 16303, 20.85
2026/04/05 17:34:26.269, 0, 0, 351, 16303, 20.86
2026/04/05 17:34:27.269, 0, 0, 351, 16303, 21.02
2026/04/05 17:34:28.269, 0, 0, 351, 16303, 21.01
2026/04/05 17:34:29.270, 0, 0, 351, 16303, 20.64
2026/04/05 17:34:30.270, 0, 0, 351, 16303, 20.64
2026/04/05 17:34:31.270, 0, 0, 351, 16303, 20.71
2026/04/05 17:34:32.270, 0, 0, 351, 16303, 20.83
2026/04/05 17:34:33.270, 0, 0, 351, 16303, 20.99
2026/04/05 17:34:34.271, 0, 0, 351, 16303, 20.97
2026/04/05 17:34:35.271, 0, 0, 351, 16303, 21.08
2026/04/05 17:34:36.271, 0, 0, 351, 16303, 21.01
2026/04/05 17:34:37.271, 0, 0, 351, 16303, 21.01
2026/04/05 17:34:38.271, 0, 0, 351, 16303, 21.10
2026/04/05 17:34:39.272, 0, 0, 351, 16303, 20.84
2026/04/05 17:34:40.272, 0, 0, 351, 16303, 20.85
2026/04/05 17:34:41.272, 0, 0, 351, 16303, 20.91
2026/04/05 17:34:42.272, 0, 0, 351, 16303, 20.98
2026/04/05 17:34:43.273, 0, 0, 351, 16303, 20.94
