timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/05 21:16:25.493, 0, 0, 351, 16303, 21.41
2026/04/05 21:16:26.504, 0, 0, 351, 16303, 21.41
2026/04/05 21:16:27.504, 0, 0, 351, 16303, 21.60
2026/04/05 21:16:28.504, 0, 0, 351, 16303, 21.50
2026/04/05 21:16:29.505, 0, 0, 351, 16303, 21.49
2026/04/05 21:16:30.505, 0, 0, 351, 16303, 21.33
2026/04/05 21:16:31.505, 0, 0, 351, 16303, 21.31
2026/04/05 21:16:32.505, 0, 0, 351, 16303, 21.50
2026/04/05 21:16:33.506, 0, 0, 351, 16303, 21.55
2026/04/05 21:16:34.506, 0, 0, 351, 16303, 21.63
2026/04/05 21:16:35.506, 0, 0, 351, 16303, 21.66
2026/04/05 21:16:36.506, 0, 0, 351, 16303, 21.40
2026/04/05 21:16:37.506, 0, 0, 351, 16303, 21.68
2026/04/05 21:16:38.507, 0, 0, 351, 16303, 21.60
2026/04/05 21:16:39.507, 0, 0, 351, 16303, 21.48
2026/04/05 21:16:40.507, 0, 0, 351, 16303, 21.20
2026/04/05 21:16:41.507, 0, 0, 351, 16303, 21.18
2026/04/05 21:16:42.507, 0, 0, 351, 16303, 21.08
2026/04/05 21:16:43.508, 0, 0, 351, 16303, 21.16
2026/04/05 21:16:44.508, 0, 0, 351, 16303, 21.17
2026/04/05 21:16:45.508, 0, 0, 351, 16303, 21.22
2026/04/05 21:16:46.508, 0, 0, 351, 16303, 21.22
2026/04/05 21:16:47.508, 0, 0, 351, 16303, 21.34
2026/04/05 21:16:48.509, 0, 0, 351, 16303, 21.47
2026/04/05 21:16:49.509, 0, 0, 351, 16303, 21.62
2026/04/05 21:16:50.509, 0, 0, 351, 16303, 21.56
2026/04/05 21:16:51.509, 0, 0, 351, 16303, 21.41
2026/04/05 21:16:52.509, 0, 0, 351, 16303, 21.52
2026/04/05 21:16:53.510, 0, 0, 351, 16303, 21.53
2026/04/05 21:16:54.510, 0, 0, 351, 16303, 21.50
2026/04/05 21:16:55.510, 0, 0, 351, 16303, 21.50
2026/04/05 21:16:56.510, 0, 0, 351, 16303, 21.48
2026/04/05 21:16:57.510, 0, 0, 351, 16303, 21.33
2026/04/05 21:16:58.511, 0, 0, 351, 16303, 21.42
2026/04/05 21:16:59.511, 0, 0, 351, 16303, 21.16
2026/04/05 21:17:00.511, 0, 0, 351, 16303, 21.20
2026/04/05 21:17:01.511, 0, 0, 351, 16303, 21.03
2026/04/05 21:17:02.511, 0, 0, 351, 16303, 21.13
2026/04/05 21:17:03.512, 0, 0, 351, 16303, 21.44
2026/04/05 21:17:04.512, 0, 0, 351, 16303, 21.50
2026/04/05 21:17:05.512, 0, 0, 351, 16303, 21.48
2026/04/05 21:17:06.512, 0, 0, 351, 16303, 21.40
2026/04/05 21:17:07.512, 0, 0, 351, 16303, 21.24
2026/04/05 21:17:08.513, 0, 0, 351, 16303, 21.40
2026/04/05 21:17:09.513, 0, 0, 351, 16303, 21.33
2026/04/05 21:17:10.513, 0, 0, 351, 16303, 21.26
2026/04/05 21:17:11.513, 0, 0, 351, 16303, 21.30
2026/04/05 21:17:12.514, 0, 0, 351, 16303, 21.40
2026/04/05 21:17:13.514, 0, 0, 351, 16303, 21.42
2026/04/05 21:17:14.514, 0, 0, 351, 16303, 21.34
2026/04/05 21:17:15.514, 0, 0, 351, 16303, 21.34
2026/04/05 21:17:16.514, 0, 0, 351, 16303, 21.37
2026/04/05 21:17:17.515, 0, 0, 351, 16303, 21.37
2026/04/05 21:17:18.515, 0, 0, 351, 16303, 21.42
2026/04/05 21:17:19.515, 0, 0, 351, 16303, 21.52
2026/04/05 21:17:20.612, 0, 0, 351, 16303, 21.46
