timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/05 21:32:08.109, 0, 0, 351, 16303, 21.67
2026/04/05 21:32:09.119, 0, 0, 351, 16303, 21.95
2026/04/05 21:32:10.119, 0, 0, 351, 16303, 21.94
2026/04/05 21:32:11.120, 0, 0, 351, 16303, 21.89
2026/04/05 21:32:12.120, 0, 0, 351, 16303, 21.80
2026/04/05 21:32:13.120, 0, 0, 351, 16303, 21.84
2026/04/05 21:32:14.120, 0, 0, 351, 16303, 21.49
2026/04/05 21:32:15.164, 0, 0, 351, 16303, 21.55
2026/04/05 21:32:16.165, 0, 0, 351, 16303, 21.47
2026/04/05 21:32:17.165, 0, 0, 351, 16303, 21.41
2026/04/05 21:32:18.165, 0, 0, 351, 16303, 21.34
2026/04/05 21:32:19.165, 0, 0, 351, 16303, 21.45
2026/04/05 21:32:20.165, 0, 0, 351, 16303, 21.66
2026/04/05 21:32:21.166, 0, 0, 351, 16303, 21.68
2026/04/05 21:32:22.166, 0, 0, 351, 16303, 21.61
2026/04/05 21:32:23.166, 0, 0, 351, 16303, 21.40
2026/04/05 21:32:24.166, 0, 0, 351, 16303, 21.20
2026/04/05 21:32:25.167, 0, 0, 351, 16303, 21.33
2026/04/05 21:32:26.167, 0, 0, 351, 16303, 21.50
2026/04/05 21:32:27.167, 0, 0, 351, 16303, 21.28
2026/04/05 21:32:28.167, 0, 0, 351, 16303, 21.31
2026/04/05 21:32:29.167, 0, 0, 351, 16303, 21.41
2026/04/05 21:32:30.168, 0, 0, 351, 16303, 21.56
2026/04/05 21:32:31.168, 0, 0, 351, 16303, 21.52
2026/04/05 21:32:32.168, 0, 0, 351, 16303, 21.45
2026/04/05 21:32:33.168, 0, 0, 351, 16303, 21.39
2026/04/05 21:32:34.169, 0, 0, 351, 16303, 21.32
2026/04/05 21:32:35.169, 0, 0, 351, 16303, 21.36
2026/04/05 21:32:36.169, 0, 0, 351, 16303, 21.35
2026/04/05 21:32:37.169, 0, 0, 351, 16303, 21.32
2026/04/05 21:32:38.169, 0, 0, 351, 16303, 21.24
2026/04/05 21:32:39.169, 0, 0, 351, 16303, 21.29
2026/04/05 21:32:40.170, 0, 0, 351, 16303, 21.50
2026/04/05 21:32:41.170, 0, 0, 351, 16303, 21.58
2026/04/05 21:32:42.170, 0, 0, 351, 16303, 21.52
2026/04/05 21:32:43.170, 0, 0, 351, 16303, 21.39
2026/04/05 21:32:44.171, 0, 0, 351, 16303, 21.56
2026/04/05 21:32:45.171, 0, 0, 351, 16303, 21.84
2026/04/05 21:32:46.171, 0, 0, 351, 16303, 21.64
2026/04/05 21:32:47.171, 0, 0, 351, 16303, 21.50
2026/04/05 21:32:48.171, 0, 0, 351, 16303, 21.56
2026/04/05 21:32:49.172, 0, 0, 351, 16303, 21.45
2026/04/05 21:32:50.172, 0, 0, 351, 16303, 21.35
