Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,2905,0,6200.0,6092.99485890228,147.41033903555945,8358.938488992862,89.49122203098106,3.238997577737796,0.0,6200,6400,6500,6600,6800,7100,7200,7300,8400,8400,8400
,Aggregated,2905,0,6200.0,6092.99485890228,147.41033903555945,8358.938488992862,89.49122203098106,3.238997577737796,0.0,6200,6400,6500,6600,6800,7100,7200,7300,8400,8400,8400
