Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,4373,0,4100.0,4055.1946028085704,179.60516299353912,5541.893084009644,90.05922707523439,4.865213215386846,0.0,4100,4200,4300,4400,4600,4700,4900,4900,5300,5500,5500
,Aggregated,4373,0,4100.0,4055.1946028085704,179.60516299353912,5541.893084009644,90.05922707523439,4.865213215386846,0.0,4100,4200,4300,4400,4600,4700,4900,4900,5300,5500,5500
