timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/05 17:49:54.772, 0, 0, 351, 16303, 20.94
2026/04/05 17:49:55.783, 0, 0, 351, 16303, 21.00
2026/04/05 17:49:56.783, 0, 0, 351, 16303, 21.01
2026/04/05 17:49:57.784, 0, 0, 351, 16303, 20.85
2026/04/05 17:49:58.784, 0, 0, 351, 16303, 20.79
2026/04/05 17:49:59.784, 0, 0, 351, 16303, 20.65
2026/04/05 17:50:00.784, 0, 0, 351, 16303, 20.76
2026/04/05 17:50:01.784, 0, 0, 351, 16303, 21.02
2026/04/05 17:50:02.785, 0, 0, 351, 16303, 21.00
2026/04/05 17:50:03.785, 0, 0, 351, 16303, 21.00
2026/04/05 17:50:04.785, 0, 0, 351, 16303, 21.09
2026/04/05 17:50:05.786, 0, 0, 351, 16303, 21.04
2026/04/05 17:50:06.786, 0, 0, 351, 16303, 21.08
2026/04/05 17:50:07.786, 0, 0, 351, 16303, 21.11
2026/04/05 17:50:08.786, 0, 0, 351, 16303, 20.88
2026/04/05 17:50:09.786, 0, 0, 351, 16303, 20.90
2026/04/05 17:50:10.787, 0, 0, 351, 16303, 20.96
2026/04/05 17:50:11.787, 0, 0, 351, 16303, 20.97
2026/04/05 17:50:12.787, 0, 0, 351, 16303, 20.94
2026/04/05 17:50:13.787, 0, 0, 351, 16303, 21.02
2026/04/05 17:50:14.787, 0, 0, 351, 16303, 20.88
2026/04/05 17:50:15.788, 0, 0, 351, 16303, 20.87
2026/04/05 17:50:16.788, 0, 0, 351, 16303, 21.01
2026/04/05 17:50:17.788, 0, 0, 351, 16303, 20.97
2026/04/05 17:50:18.788, 0, 0, 351, 16303, 21.11
2026/04/05 17:50:19.788, 0, 0, 351, 16303, 21.15
2026/04/05 17:50:20.789, 0, 0, 351, 16303, 21.25
2026/04/05 17:50:21.789, 0, 0, 351, 16303, 21.07
2026/04/05 17:50:22.789, 0, 0, 351, 16303, 21.06
2026/04/05 17:50:23.789, 0, 0, 351, 16303, 21.06
2026/04/05 17:50:24.790, 0, 0, 351, 16303, 20.77
2026/04/05 17:50:25.790, 0, 0, 351, 16303, 20.87
2026/04/05 17:50:26.790, 0, 0, 351, 16303, 20.86
2026/04/05 17:50:27.790, 0, 0, 351, 16303, 20.91
2026/04/05 17:50:28.790, 0, 0, 351, 16303, 21.13
2026/04/05 17:50:29.791, 0, 0, 351, 16303, 21.08
2026/04/05 17:50:30.791, 0, 0, 351, 16303, 21.05
2026/04/05 17:50:31.791, 0, 0, 351, 16303, 21.08
2026/04/05 17:50:32.791, 0, 0, 351, 16303, 21.02
2026/04/05 17:50:33.791, 0, 0, 351, 16303, 21.14
2026/04/05 17:50:34.792, 0, 0, 351, 16303, 21.01
2026/04/05 17:50:35.792, 0, 0, 351, 16303, 20.94
2026/04/05 17:50:36.792, 0, 0, 351, 16303, 20.92
2026/04/05 17:50:37.792, 0, 0, 351, 16303, 20.97
2026/04/05 17:50:38.792, 0, 0, 351, 16303, 20.97
2026/04/05 17:50:39.793, 0, 0, 351, 16303, 20.90
2026/04/05 17:50:40.793, 0, 0, 351, 16303, 20.66
2026/04/05 17:50:41.793, 0, 0, 351, 16303, 20.74
2026/04/05 17:50:42.793, 0, 0, 351, 16303, 20.86
2026/04/05 17:50:43.794, 0, 0, 351, 16303, 20.88
2026/04/05 17:50:44.794, 0, 0, 351, 16303, 20.95
2026/04/05 17:50:45.794, 0, 0, 351, 16303, 20.82
2026/04/05 17:50:46.794, 0, 0, 351, 16303, 20.64
2026/04/05 17:50:47.794, 0, 0, 351, 16303, 20.86
2026/04/05 17:50:48.795, 0, 0, 351, 16303, 20.84
2026/04/05 17:50:49.795, 0, 0, 351, 16303, 20.89
2026/04/05 17:50:50.795, 0, 0, 351, 16303, 21.03
