timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/05 21:00:43.350, 0, 0, 351, 16303, 21.15
2026/04/05 21:00:44.360, 0, 0, 351, 16303, 21.15
2026/04/05 21:00:45.360, 0, 0, 351, 16303, 21.38
2026/04/05 21:00:46.360, 0, 0, 351, 16303, 21.26
2026/04/05 21:00:47.360, 0, 0, 351, 16303, 21.17
2026/04/05 21:00:48.361, 0, 0, 351, 16303, 21.18
2026/04/05 21:00:49.361, 0, 0, 351, 16303, 21.42
2026/04/05 21:00:50.361, 0, 0, 351, 16303, 21.34
2026/04/05 21:00:51.362, 0, 0, 351, 16303, 20.98
2026/04/05 21:00:52.362, 0, 0, 351, 16303, 21.06
2026/04/05 21:00:53.362, 0, 0, 351, 16303, 21.08
2026/04/05 21:00:54.362, 0, 0, 351, 16303, 21.15
2026/04/05 21:00:55.362, 0, 0, 351, 16303, 21.14
2026/04/05 21:00:56.363, 0, 0, 351, 16303, 21.30
2026/04/05 21:00:57.363, 0, 0, 351, 16303, 21.23
2026/04/05 21:00:58.363, 0, 0, 351, 16303, 21.16
2026/04/05 21:00:59.363, 0, 0, 351, 16303, 21.10
2026/04/05 21:01:00.363, 0, 0, 351, 16303, 21.19
2026/04/05 21:01:01.364, 0, 0, 351, 16303, 21.06
2026/04/05 21:01:02.364, 0, 0, 351, 16303, 21.16
2026/04/05 21:01:03.364, 0, 0, 351, 16303, 21.18
2026/04/05 21:01:04.364, 0, 0, 351, 16303, 21.31
2026/04/05 21:01:05.364, 0, 0, 351, 16303, 21.15
2026/04/05 21:01:06.365, 0, 0, 351, 16303, 21.11
2026/04/05 21:01:07.365, 0, 0, 351, 16303, 20.94
2026/04/05 21:01:08.365, 0, 0, 351, 16303, 20.99
2026/04/05 21:01:09.365, 0, 0, 351, 16303, 21.27
2026/04/05 21:01:10.365, 0, 0, 351, 16303, 21.25
2026/04/05 21:01:11.366, 0, 0, 351, 16303, 21.21
2026/04/05 21:01:12.366, 0, 0, 351, 16303, 21.20
2026/04/05 21:01:13.366, 0, 0, 351, 16303, 21.05
2026/04/05 21:01:14.366, 0, 0, 351, 16303, 21.14
2026/04/05 21:01:15.366, 0, 0, 351, 16303, 21.22
2026/04/05 21:01:16.367, 0, 0, 351, 16303, 21.19
2026/04/05 21:01:17.367, 0, 0, 351, 16303, 21.12
2026/04/05 21:01:18.367, 0, 0, 351, 16303, 21.03
2026/04/05 21:01:19.367, 0, 0, 351, 16303, 21.13
2026/04/05 21:01:20.368, 0, 0, 351, 16303, 21.12
2026/04/05 21:01:21.368, 0, 0, 351, 16303, 21.13
2026/04/05 21:01:22.368, 0, 0, 351, 16303, 21.21
2026/04/05 21:01:23.368, 0, 0, 351, 16303, 21.35
2026/04/05 21:01:24.368, 0, 0, 351, 16303, 21.41
2026/04/05 21:01:25.369, 0, 0, 351, 16303, 21.39
2026/04/05 21:01:26.369, 0, 0, 351, 16303, 21.26
2026/04/05 21:01:27.369, 0, 0, 351, 16303, 21.22
2026/04/05 21:01:28.369, 0, 0, 351, 16303, 21.25
2026/04/05 21:01:29.369, 0, 0, 351, 16303, 21.26
2026/04/05 21:01:30.369, 0, 0, 351, 16303, 21.23
2026/04/05 21:01:31.370, 0, 0, 351, 16303, 21.15
2026/04/05 21:01:32.370, 0, 0, 351, 16303, 21.28
2026/04/05 21:01:33.370, 0, 0, 351, 16303, 21.34
2026/04/05 21:01:34.370, 0, 0, 351, 16303, 21.29
