Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,4296,0,4200.0,4129.931322671465,178.13227101578377,5867.5273380067665,90.2574487895717,4.78039585184868,0.0,4200,4300,4400,4500,4600,4800,5000,5100,5400,5900,5900
,Aggregated,4296,0,4200.0,4129.931322671465,178.13227101578377,5867.5273380067665,90.2574487895717,4.78039585184868,0.0,4200,4300,4400,4500,4600,4800,5000,5100,5400,5900,5900
