timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/05 17:01:23.886, 0, 0, 351, 16303, 21.47
2026/04/05 17:01:24.897, 0, 0, 351, 16303, 21.42
2026/04/05 17:01:25.897, 0, 0, 351, 16303, 21.36
2026/04/05 17:01:26.897, 0, 0, 351, 16303, 21.10
2026/04/05 17:01:27.897, 0, 0, 351, 16303, 21.28
2026/04/05 17:01:28.898, 0, 0, 351, 16303, 21.45
2026/04/05 17:01:29.898, 0, 0, 351, 16303, 21.22
2026/04/05 17:01:30.898, 0, 0, 351, 16303, 21.14
2026/04/05 17:01:31.898, 0, 0, 351, 16303, 21.30
2026/04/05 17:01:32.898, 0, 0, 351, 16303, 21.26
2026/04/05 17:01:33.899, 0, 0, 351, 16303, 21.31
2026/04/05 17:01:34.899, 0, 0, 351, 16303, 21.27
2026/04/05 17:01:35.899, 0, 0, 351, 16303, 21.14
2026/04/05 17:01:36.899, 0, 0, 351, 16303, 21.23
2026/04/05 17:01:37.900, 0, 0, 351, 16303, 21.29
2026/04/05 17:01:38.900, 0, 0, 351, 16303, 21.33
2026/04/05 17:01:39.900, 0, 0, 351, 16303, 21.25
2026/04/05 17:01:40.900, 0, 0, 351, 16303, 21.22
2026/04/05 17:01:41.900, 0, 0, 351, 16303, 21.14
2026/04/05 17:01:42.901, 0, 0, 351, 16303, 21.20
2026/04/05 17:01:43.901, 0, 0, 351, 16303, 21.21
2026/04/05 17:01:44.901, 0, 0, 351, 16303, 21.08
2026/04/05 17:01:45.901, 0, 0, 351, 16303, 21.17
2026/04/05 17:01:46.901, 0, 0, 351, 16303, 21.13
2026/04/05 17:01:47.902, 0, 0, 351, 16303, 21.07
2026/04/05 17:01:48.902, 0, 0, 351, 16303, 20.99
2026/04/05 17:01:49.902, 0, 0, 351, 16303, 21.01
2026/04/05 17:01:50.902, 0, 0, 351, 16303, 20.97
2026/04/05 17:01:51.902, 0, 0, 351, 16303, 20.98
2026/04/05 17:01:52.903, 0, 0, 351, 16303, 20.95
2026/04/05 17:01:53.903, 0, 0, 351, 16303, 20.95
2026/04/05 17:01:54.903, 0, 0, 351, 16303, 20.90
2026/04/05 17:01:55.903, 0, 0, 351, 16303, 21.07
2026/04/05 17:01:56.903, 0, 0, 351, 16303, 21.16
2026/04/05 17:01:57.903, 0, 0, 351, 16303, 21.19
2026/04/05 17:01:58.904, 0, 0, 351, 16303, 21.32
2026/04/05 17:01:59.904, 0, 0, 351, 16303, 21.08
2026/04/05 17:02:00.904, 0, 0, 351, 16303, 21.11
2026/04/05 17:02:01.904, 0, 0, 351, 16303, 21.18
2026/04/05 17:02:02.904, 0, 0, 351, 16303, 21.35
2026/04/05 17:02:03.905, 0, 0, 351, 16303, 21.33
2026/04/05 17:02:04.905, 0, 0, 351, 16303, 21.35
2026/04/05 17:02:05.905, 0, 0, 351, 16303, 21.34
2026/04/05 17:02:06.905, 0, 0, 351, 16303, 21.21
2026/04/05 17:02:07.905, 0, 0, 351, 16303, 21.49
2026/04/05 17:02:08.906, 0, 0, 351, 16303, 21.48
2026/04/05 17:02:09.906, 0, 0, 351, 16303, 21.30
