timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/05 17:17:40.908, 0, 0, 351, 16303, 21.23
2026/04/05 17:17:41.917, 0, 0, 351, 16303, 21.18
2026/04/05 17:17:42.917, 0, 0, 351, 16303, 21.29
2026/04/05 17:17:43.918, 0, 0, 351, 16303, 21.18
2026/04/05 17:17:44.918, 0, 0, 351, 16303, 21.16
2026/04/05 17:17:45.918, 0, 0, 351, 16303, 21.05
2026/04/05 17:17:46.918, 0, 0, 351, 16303, 21.03
2026/04/05 17:17:47.918, 0, 0, 351, 16303, 20.97
2026/04/05 17:17:48.919, 0, 0, 351, 16303, 20.98
2026/04/05 17:17:49.919, 0, 0, 351, 16303, 21.01
2026/04/05 17:17:50.919, 0, 0, 351, 16303, 21.13
2026/04/05 17:17:51.919, 0, 0, 351, 16303, 21.04
2026/04/05 17:17:52.919, 0, 0, 351, 16303, 20.99
2026/04/05 17:17:53.920, 0, 0, 351, 16303, 21.06
2026/04/05 17:17:54.920, 0, 0, 351, 16303, 21.08
2026/04/05 17:17:55.920, 0, 0, 351, 16303, 21.11
2026/04/05 17:17:56.920, 0, 0, 351, 16303, 21.15
2026/04/05 17:17:57.920, 0, 0, 351, 16303, 21.11
2026/04/05 17:17:58.921, 0, 0, 351, 16303, 21.14
2026/04/05 17:17:59.921, 0, 0, 351, 16303, 21.19
2026/04/05 17:18:00.921, 0, 0, 351, 16303, 21.36
2026/04/05 17:18:01.921, 0, 0, 351, 16303, 21.33
2026/04/05 17:18:02.921, 0, 0, 351, 16303, 21.15
2026/04/05 17:18:03.922, 0, 0, 351, 16303, 21.11
2026/04/05 17:18:04.922, 0, 0, 351, 16303, 21.26
2026/04/05 17:18:05.922, 0, 0, 351, 16303, 20.99
2026/04/05 17:18:06.922, 0, 0, 351, 16303, 20.92
2026/04/05 17:18:07.923, 0, 0, 351, 16303, 21.03
2026/04/05 17:18:08.923, 0, 0, 351, 16303, 21.15
2026/04/05 17:18:09.923, 0, 0, 351, 16303, 21.12
2026/04/05 17:18:10.923, 0, 0, 351, 16303, 21.15
2026/04/05 17:18:11.923, 0, 0, 351, 16303, 21.19
2026/04/05 17:18:12.924, 0, 0, 351, 16303, 21.24
2026/04/05 17:18:13.924, 0, 0, 351, 16303, 21.20
2026/04/05 17:18:14.924, 0, 0, 351, 16303, 21.47
2026/04/05 17:18:15.924, 0, 0, 351, 16303, 21.25
2026/04/05 17:18:16.924, 0, 0, 351, 16303, 20.99
2026/04/05 17:18:17.925, 0, 0, 351, 16303, 20.90
2026/04/05 17:18:18.925, 0, 0, 351, 16303, 20.86
2026/04/05 17:18:19.925, 0, 0, 351, 16303, 20.95
2026/04/05 17:18:20.925, 0, 0, 351, 16303, 20.81
2026/04/05 17:18:21.925, 0, 0, 351, 16303, 20.82
2026/04/05 17:18:22.926, 0, 0, 351, 16303, 20.81
2026/04/05 17:18:23.926, 0, 0, 351, 16303, 20.86
2026/04/05 17:18:24.926, 0, 0, 351, 16303, 21.08
2026/04/05 17:18:25.926, 0, 0, 351, 16303, 21.03
2026/04/05 17:18:26.926, 0, 0, 351, 16303, 21.04
2026/04/05 17:18:27.927, 0, 0, 351, 16303, 21.05
2026/04/05 17:18:28.927, 0, 0, 351, 16303, 20.96
2026/04/05 17:18:29.927, 0, 0, 351, 16303, 21.04
2026/04/05 17:18:30.927, 0, 0, 351, 16303, 21.14
2026/04/05 17:18:31.927, 0, 0, 351, 16303, 21.14
2026/04/05 17:18:32.928, 0, 0, 351, 16303, 21.21
2026/04/05 17:18:33.928, 0, 0, 351, 16303, 21.33
2026/04/05 17:18:34.928, 0, 0, 351, 16303, 21.45
2026/04/05 17:18:35.928, 0, 0, 351, 16303, 21.22
2026/04/05 17:18:36.928, 0, 0, 351, 16303, 21.03
